industry,city,quarter,new_listings,cumulative,new_listings_hk_substantive,geo_scope
ai,hk,2015Q1,0,0,,listing_venue
ai,hk,2015Q2,0,0,,listing_venue
ai,hk,2015Q3,0,0,,listing_venue
ai,hk,2015Q4,0,0,,listing_venue
ai,hk,2016Q1,0,0,,listing_venue
ai,hk,2016Q2,0,0,,listing_venue
ai,hk,2016Q3,0,0,,listing_venue
ai,hk,2016Q4,0,0,,listing_venue
ai,hk,2017Q1,0,0,,listing_venue
ai,hk,2017Q2,0,0,,listing_venue
ai,hk,2017Q3,0,0,,listing_venue
ai,hk,2017Q4,0,0,,listing_venue
ai,hk,2018Q1,0,0,,listing_venue
ai,hk,2018Q2,0,0,,listing_venue
ai,hk,2018Q3,0,0,,listing_venue
ai,hk,2018Q4,0,0,,listing_venue
ai,hk,2019Q1,0,0,,listing_venue
ai,hk,2019Q2,0,0,,listing_venue
ai,hk,2019Q3,0,0,,listing_venue
ai,hk,2019Q4,0,0,,listing_venue
ai,hk,2020Q1,0,0,,listing_venue
ai,hk,2020Q2,0,0,,listing_venue
ai,hk,2020Q3,0,0,,listing_venue
ai,hk,2020Q4,0,0,,listing_venue
ai,hk,2021Q1,0,0,,listing_venue
ai,hk,2021Q2,0,0,,listing_venue
ai,hk,2021Q3,0,0,,listing_venue
ai,hk,2021Q4,0,0,,listing_venue
ai,hk,2022Q1,0,0,,listing_venue
ai,hk,2022Q2,0,0,,listing_venue
ai,hk,2022Q3,0,0,,listing_venue
ai,hk,2022Q4,0,0,,listing_venue
ai,hk,2023Q1,0,0,,listing_venue
ai,hk,2023Q2,0,0,,listing_venue
ai,hk,2023Q3,0,0,,listing_venue
ai,hk,2023Q4,0,0,,listing_venue
ai,hk,2024Q1,0,0,,listing_venue
ai,hk,2024Q2,1,1,,listing_venue
ai,hk,2024Q3,1,2,,listing_venue
ai,hk,2024Q4,1,3,,listing_venue
biomed,hk,2015Q1,0,0,,listing_venue
biomed,hk,2015Q2,0,0,,listing_venue
biomed,hk,2015Q3,0,0,,listing_venue
biomed,hk,2015Q4,0,0,,listing_venue
biomed,hk,2016Q1,0,0,,listing_venue
biomed,hk,2016Q2,0,0,,listing_venue
biomed,hk,2016Q3,0,0,,listing_venue
biomed,hk,2016Q4,0,0,,listing_venue
biomed,hk,2017Q1,0,0,,listing_venue
biomed,hk,2017Q2,0,0,,listing_venue
biomed,hk,2017Q3,0,0,,listing_venue
biomed,hk,2017Q4,0,0,,listing_venue
biomed,hk,2018Q1,0,0,,listing_venue
biomed,hk,2018Q2,0,0,,listing_venue
biomed,hk,2018Q3,3,3,,listing_venue
biomed,hk,2018Q4,2,5,,listing_venue
biomed,hk,2019Q1,2,7,,listing_venue
biomed,hk,2019Q2,1,8,,listing_venue
biomed,hk,2019Q3,1,9,,listing_venue
biomed,hk,2019Q4,5,14,,listing_venue
biomed,hk,2020Q1,1,15,,listing_venue
biomed,hk,2020Q2,3,18,,listing_venue
biomed,hk,2020Q3,3,21,,listing_venue
biomed,hk,2020Q4,7,28,,listing_venue
biomed,hk,2021Q1,3,31,,listing_venue
biomed,hk,2021Q2,2,33,,listing_venue
biomed,hk,2021Q3,7,40,,listing_venue
biomed,hk,2021Q4,8,48,,listing_venue
biomed,hk,2022Q1,2,50,,listing_venue
biomed,hk,2022Q2,0,50,,listing_venue
biomed,hk,2022Q3,2,52,,listing_venue
biomed,hk,2022Q4,4,56,,listing_venue
biomed,hk,2023Q1,0,56,,listing_venue
biomed,hk,2023Q2,3,59,,listing_venue
biomed,hk,2023Q3,3,62,,listing_venue
biomed,hk,2023Q4,1,63,,listing_venue
biomed,hk,2024Q1,1,64,,listing_venue
biomed,hk,2024Q2,1,65,,listing_venue
biomed,hk,2024Q3,1,66,,listing_venue
biomed,hk,2024Q4,1,67,,listing_venue
